obf-class	obf-field	obf-signature	cb-field	cb-signature
aoj	bx	Laof;	bx	Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;
aoj	by	Laof;	by	Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;
aol	a	[B	a	[B
aol	b	I	b	I
aol	c	Z	c	Z
aol	d	Laok;	d	Lorg/bouncycastle/crypto/BlockCipher;
aol	e	Z	e	Z
aol	f	Z	f	Z
aou	a	[B	a	[B
aou	b	[B	b	[B
aou	c	[I	c	[I
aou	d	[I	d	[I
aou	e	[I	e	[I
aou	f	[I	f	[I
aou	g	[I	g	[I
aou	h	[I	h	[I
aou	i	[I	i	[I
aou	j	[I	j	[I
aou	k	[I	k	[I
aou	l	I	l	I
aou	m	[[I	m	[[I
aou	n	I	n	I
aou	o	I	o	I
aou	p	I	p	I
aou	q	I	q	I
aou	r	Z	r	Z
aov	a	Laol;	a	Lorg/bouncycastle/crypto/BufferedBlockCipher;
aov	b	Laot;	b	Lorg/bouncycastle/crypto/StreamCipher;
aov	c	[B	c	[B
aov	d	[B	d	[B
aov	e	I	e	I
aov	f	I	f	I
aov	g	Z	g	Z
aow	a	Laol;	a	Lorg/bouncycastle/crypto/BufferedBlockCipher;
aow	b	Laot;	b	Lorg/bouncycastle/crypto/StreamCipher;
aow	c	[B	c	[B
aow	d	[B	d	[B
aox	a	[B	a	[B
aox	b	[B	b	[B
aox	c	[B	c	[B
aox	d	I	d	I
aox	e	Laok;	e	Lorg/bouncycastle/crypto/BlockCipher;
aox	f	Z	f	Z
aoy	a	[B	a	[B
aoz	a	[B	a	[B
aoz	b	Laon;	b	Lorg/bouncycastle/crypto/CipherParameters;
apc	a	Ljava/lang/String;	a	Ljava/lang/String;
apc	b	I	b	I
ape	c	Ljava/lang/String;	c	Ljava/lang/String;
ape	a	Ljava/lang/String;	a	Ljava/lang/String;
ape	b	Lapb;	b	Lorg/bouncycastle/jcajce/provider/config/ProviderConfiguration;
ape	d	Ljava/util/Map;	d	Ljava/util/Map;
ape	e	[Ljava/lang/String;	e	[Ljava/lang/String;
ape	f	[Ljava/lang/String;	f	[Ljava/lang/String;
ape	g	[Ljava/lang/String;	g	[Ljava/lang/String;
ape	h	[Ljava/lang/String;	h	[Ljava/lang/String;
apf	a	Lape;	a	Lorg/bouncycastle/jce/provider/BouncyCastleProvider;
apg	a	Ljava/security/Permission;	a	Ljava/security/Permission;
apg	b	Ljava/security/Permission;	b	Ljava/security/Permission;
apg	c	Ljava/security/Permission;	c	Ljava/security/Permission;
apg	d	Ljava/security/Permission;	d	Ljava/security/Permission;
apg	e	Ljava/lang/ThreadLocal;	e	Ljava/lang/ThreadLocal;
apg	f	Ljava/lang/ThreadLocal;	f	Ljava/lang/ThreadLocal;
aq	a	[Ljava/lang/Object;	a	[Ljava/lang/Object;
ay	a	Lxv;	a	Lnet/minecraft/server/World;
ay	b	I	b	I
ay	c	I	c	I
ay	d	I	d	I
b	a	La;	a	Lnet/minecraft/server/CrashReport;
ba	b	Ljava/lang/Object;	b	Ljava/lang/Object;
bb	a	Lbb;	a	Lnet/minecraft/server/IDispenseBehavior;
bd	a	Lbd;	a	Lnet/minecraft/server/EnumFacing;
bd	b	Lbd;	b	Lnet/minecraft/server/EnumFacing;
bd	c	Lbd;	c	Lnet/minecraft/server/EnumFacing;
bd	d	Lbd;	d	Lnet/minecraft/server/EnumFacing;
bd	e	Lbd;	e	Lnet/minecraft/server/EnumFacing;
bd	f	Lbd;	f	Lnet/minecraft/server/EnumFacing;
bd	g	I	g	I
bd	h	I	h	I
bd	i	I	i	I
bd	j	I	j	I
bd	k	I	k	I
bd	l	[Lbd;	l	[Lnet/minecraft/server/EnumFacing;
bd	m	[Lbd;	m	[Lnet/minecraft/server/EnumFacing;
bh	a	D	a	D
bh	b	D	b	D
bh	c	D	c	D
bj	a	Ljava/util/Map;	a	Ljava/util/Map;
bm	a	Lbn;	a	Lnet/minecraft/server/LocaleLanguage;
bn	a	Lbn;	a	Lnet/minecraft/server/LocaleLanguage;
bn	b	Ljava/util/Properties;	b	Ljava/util/Properties;
bn	c	Ljava/util/TreeMap;	c	Ljava/util/TreeMap;
bn	d	Ljava/lang/String;	d	Ljava/lang/String;
bn	e	Z	e	Z
bo	a	[B	data	[B
bp	a	B	data	B
bq	a	Ljava/util/Map;	map	Ljava/util/Map;
br	a	Ljava/lang/String;	a	Ljava/lang/String;
br	b	Lbq;	b	Lnet/minecraft/server/NBTTagCompound;
bs	a	I	a	I
bs	b	Lbq;	b	Lnet/minecraft/server/NBTTagCompound;
bt	a	D	data	D
bv	a	F	data	F
bw	a	[I	data	[I
bx	a	I	data	I
by	a	Ljava/util/List;	list	Ljava/util/List;
by	c	B	type	B
bz	a	J	data	J
c	a	La;	a	Lnet/minecraft/server/CrashReport;
cb	a	S	data	S
cc	a	Ljava/lang/String;	data	Ljava/lang/String;
cd	b	[Ljava/lang/String;	b	[Ljava/lang/String;
cd	a	Ljava/lang/String;	name	Ljava/lang/String;
cf	a	Ljava/net/SocketAddress;	a	Ljava/net/SocketAddress;
cf	b	Ljava/util/List;	b	Ljava/util/List;
cf	c	Lcf;	c	Lnet/minecraft/server/MemoryNetworkManager;
cf	d	Leh;	d	Lnet/minecraft/server/NetHandler;
cf	e	Z	e	Z
cf	f	Ljava/lang/String;	f	Ljava/lang/String;
cf	g	[Ljava/lang/Object;	g	[Ljava/lang/Object;
cf	h	Z	h	Z
cg	a	Ljava/util/concurrent/atomic/AtomicInteger;	a	Ljava/util/concurrent/atomic/AtomicInteger;
cg	b	Ljava/util/concurrent/atomic/AtomicInteger;	b	Ljava/util/concurrent/atomic/AtomicInteger;
cg	h	Ljava/lang/Object;	h	Ljava/lang/Object;
cg	i	Ljava/net/Socket;	socket	Ljava/net/Socket;
cg	j	Ljava/net/SocketAddress;	j	Ljava/net/SocketAddress;
cg	k	Ljava/io/DataInputStream;	input	Ljava/io/DataInputStream;
cg	l	Ljava/io/DataOutputStream;	output	Ljava/io/DataOutputStream;
cg	m	Z	m	Z
cg	n	Z	n	Z
cg	o	Ljava/util/List;	inboundQueue	Ljava/util/List;
cg	p	Ljava/util/List;	highPriorityQueue	Ljava/util/List;
cg	q	Ljava/util/List;	lowPriorityQueue	Ljava/util/List;
cg	r	Leh;	packetListener	Lnet/minecraft/server/NetHandler;
cg	s	Z	s	Z
cg	t	Ljava/lang/Thread;	t	Ljava/lang/Thread;
cg	u	Ljava/lang/Thread;	u	Ljava/lang/Thread;
cg	v	Ljava/lang/String;	v	Ljava/lang/String;
cg	w	[Ljava/lang/Object;	w	[Ljava/lang/Object;
cg	x	I	x	I
cg	y	I	y	I
cg	c	[I	c	[I
cg	d	[I	d	[I
cg	e	I	e	I
cg	f	Z	f	Z
cg	g	Z	g	Z
cg	z	Ljavax/crypto/SecretKey;	z	Ljavax/crypto/SecretKey;
cg	A	Ljava/security/PrivateKey;	A	Ljava/security/PrivateKey;
cg	B	I	lowPriorityQueueDelay	I
ch	a	Lcg;	a	Lnet/minecraft/server/NetworkManager;
ci	a	Lcg;	a	Lnet/minecraft/server/NetworkManager;
cj	a	Lcg;	a	Lnet/minecraft/server/NetworkManager;
ck	a	Lcg;	a	Lnet/minecraft/server/NetworkManager;
cl	a	I	a	I
cl	b	I	b	I
cl	c	I	c	I
cl	d	I	d	I
cl	e	I	e	I
cl	f	I	f	I
cl	g	I	g	I
cl	h	I	h	I
cl	i	I	i	I
cm	a	I	a	I
cm	b	I	b	I
cm	c	I	c	I
cm	d	I	d	I
cm	e	I	e	I
cn	a	I	a	I
cn	b	I	b	I
cn	c	I	c	I
cn	d	I	d	I
cn	e	I	e	I
co	a	I	a	I
co	b	I	b	I
co	c	I	c	I
co	d	I	d	I
co	e	B	e	B
co	f	B	f	B
co	g	B	g	B
co	h	Lum;	h	Lnet/minecraft/server/ItemStack;
cp	a	I	a	I
cp	b	I	b	I
cp	c	I	c	I
cp	d	I	d	I
cp	e	I	e	I
cp	f	I	f	I
cp	g	I	g	I
cp	h	I	h	I
cp	i	B	i	B
cp	j	B	j	B
cp	k	B	k	B
cp	s	Lmj;	s	Lnet/minecraft/server/DataWatcher;
cp	t	Ljava/util/List;	t	Ljava/util/List;
cq	a	I	a	I
cq	b	I	b	I
cq	c	I	c	I
cq	d	I	d	I
cq	e	I	e	I
cq	f	Ljava/lang/String;	f	Ljava/lang/String;
cr	a	I	a	I
cr	b	Ljava/lang/String;	b	Ljava/lang/String;
cr	c	I	c	I
cr	d	I	d	I
cr	e	I	e	I
cr	f	B	f	B
cr	g	B	g	B
cr	h	I	h	I
cr	i	Lmj;	i	Lnet/minecraft/server/DataWatcher;
cr	j	Ljava/util/List;	j	Ljava/util/List;
cs	a	I	a	I
cs	b	I	b	I
ct	a	I	a	I
ct	b	I	b	I
cu	a	Ljava/lang/String;	a	Ljava/lang/String;
cv	a	I	a	I
cv	b	Ljava/lang/String;	message	Ljava/lang/String;
cv	c	Z	c	Z
cw	a	I	a	I
cw	b	I	b	I
cw	c	[B	c	[B
cw	d	I	d	I
cw	e	[B	e	[B
cx	a	I	a	I
cy	a	Ljava/lang/String;	a	Ljava/lang/String;
cy	b	I	b	I
cy	c	I	c	I
cy	d	Z	d	Z
cy	e	I	e	I
cy	f	Z	f	Z
cz	a	I	a	I
cz	b	Ljava/lang/String;	b	Ljava/lang/String;
cz	c	Ljava/lang/String;	c	Ljava/lang/String;
cz	d	I	d	I
d	a	La;	a	Lnet/minecraft/server/CrashReport;
da	a	S	a	S
da	b	S	b	S
da	c	[B	c	[B
db	a	I	a	I
db	b	S	b	S
db	c	Z	c	Z
dc	a	I	a	I
dc	b	I	b	I
dd	a	I	a	I
dd	b	I	slot	I
dd	c	I	button	I
dd	d	S	d	S
dd	e	Lum;	item	Lnet/minecraft/server/ItemStack;
dd	f	I	shift	I
de	a	I	a	I
df	a	I	a	I
df	b	I	b	I
df	c	Ljava/lang/String;	c	Ljava/lang/String;
df	d	I	d	I
dg	a	I	a	I
dg	b	[Lum;	b	[Lnet/minecraft/server/ItemStack;
dh	a	I	a	I
dh	b	I	b	I
dh	c	I	c	I
di	a	I	a	I
di	b	I	b	I
di	c	Lum;	c	Lnet/minecraft/server/ItemStack;
dj	a	Ljava/lang/String;	tag	Ljava/lang/String;
dj	b	I	length	I
dj	c	[B	data	[B
dk	a	Ljava/lang/String;	a	Ljava/lang/String;
dl	a	I	a	I
dl	b	I	b	I
dl	c	I	c	I
dl	d	I	d	I
dl	e	I	e	I
dm	a	I	a	I
dm	b	B	b	B
dn	a	D	a	D
dn	b	D	b	D
dn	c	D	c	D
dn	d	F	d	F
dn	e	Ljava/util/List;	e	Ljava/util/List;
dn	f	F	f	F
dn	g	F	g	F
dn	h	F	h	F
do	a	[Ljava/lang/String;	a	[Ljava/lang/String;
do	b	I	b	I
do	c	I	c	I
dp	a	I	a	I
dq	a	I	a	I
dq	b	I	target	I
dq	c	I	action	I
dr	a	I	a	I
ds	a	I	a	I
ds	b	I	b	I
ds	c	I	c	I
ds	d	I	d	I
ds	f	[B	buffer	[B
ds	g	[B	inflatedBuffer	[B
ds	e	Z	e	Z
ds	h	I	size	I
ds	i	[B	buildBuffer	[B
dt	a	[B	a	[B
dt	b	I	b	I
dt	c	I	c	I
du	c	[I	c	[I
du	d	[I	d	[I
du	a	[I	a	[I
du	b	[I	b	[I
du	e	[B	buffer	[B
du	f	[[B	inflatedBuffers	[[B
du	g	I	size	I
du	h	[B	buildBuffer	[B
dv	a	I	a	I
dv	b	I	b	I
dv	c	I	c	I
dv	d	I	d	I
dv	e	I	e	I
dv	f	Z	f	Z
dw	a	Ljava/lang/String;	a	Ljava/lang/String;
dw	b	I	b	I
dw	c	I	c	I
dw	d	I	d	I
dw	e	F	e	F
dw	f	I	f	I
dx	a	I	a	I
dx	b	Lyg;	b	Lnet/minecraft/server/WorldType;
dx	c	Z	c	Z
dx	d	Lye;	d	Lnet/minecraft/server/EnumGamemode;
dx	e	I	e	I
dx	f	B	f	B
dx	g	B	g	B
dx	h	B	h	B
dy	a	I	a	I
dy	b	B	b	B
dy	c	B	c	B
dy	d	B	d	B
dy	e	B	e	B
dy	f	B	f	B
dy	g	Z	g	Z
e	a	La;	a	Lnet/minecraft/server/CrashReport;
ec	a	D	x	D
ec	b	D	y	D
ec	c	D	z	D
ec	d	D	stance	D
ec	e	F	yaw	F
ec	f	F	pitch	F
ec	g	Z	g	Z
ec	h	Z	hasPos	Z
ec	i	Z	hasLook	Z
eg	l	Ljz;	l	Lnet/minecraft/server/IntHashMap;
eg	a	Ljava/util/Map;	a	Ljava/util/Map;
eg	b	Ljava/util/Set;	b	Ljava/util/Set;
eg	c	Ljava/util/Set;	c	Ljava/util/Set;
eg	m	J	timestamp	J
eg	n	J	n	J
eg	o	J	o	J
eg	p	J	p	J
eg	q	J	q	J
eg	r	Z	lowPriority	Z
ei	a	Z	a	Z
ei	b	Z	b	Z
ei	c	Z	c	Z
ei	d	Z	d	Z
ei	e	F	e	F
ei	f	F	f	F
ej	a	I	a	I
ej	b	I	b	I
ej	c	I	c	I
ej	d	I	face	I
ej	e	I	e	I
ek	a	I	a	I
ek	b	I	animation	I
el	a	Ljava/lang/String;	a	Ljava/lang/String;
el	b	Z	b	Z
el	c	I	c	I
en	a	[I	a	[I
eo	a	I	a	I
eo	b	B	b	B
ep	a	I	a	I
ep	b	I	b	I
ep	c	I	c	I
ep	d	Lye;	d	Lnet/minecraft/server/EnumGamemode;
ep	e	Lyg;	e	Lnet/minecraft/server/WorldType;
eq	a	I	a	I
eq	b	B	b	B
er	a	Ljava/lang/String;	a	Ljava/lang/String;
er	b	Ljava/security/PublicKey;	b	Ljava/security/PublicKey;
er	c	[B	c	[B
es	a	I	itemInHandIndex	I
et	a	I	slot	I
et	b	Lum;	b	Lnet/minecraft/server/ItemStack;
eu	a	I	a	I
eu	b	Ljava/util/List;	b	Ljava/util/List;
ev	a	I	a	I
ev	b	I	b	I
ev	c	I	c	I
ev	d	I	d	I
ew	a	I	a	I
ew	b	I	b	I
ew	c	Lum;	c	Lnet/minecraft/server/ItemStack;
ex	a	F	a	F
ex	b	I	b	I
ex	c	I	c	I
ey	a	I	a	I
ey	b	I	b	I
ey	c	F	c	F
ez	a	I	a	I
ez	b	I	b	I
f	a	La;	a	Lnet/minecraft/server/CrashReport;
fa	a	I	x	I
fa	b	I	y	I
fa	c	I	z	I
fb	a	J	a	J
fb	b	J	b	J
fc	a	[B	a	[B
fc	b	[B	b	[B
fc	c	Ljavax/crypto/SecretKey;	c	Ljavax/crypto/SecretKey;
fd	a	I	x	I
fd	b	I	y	I
fd	c	I	z	I
fd	d	[Ljava/lang/String;	lines	[Ljava/lang/String;
fe	a	I	a	I
fe	b	I	b	I
ff	a	I	a	I
ff	b	I	b	I
ff	c	I	c	I
ff	d	I	d	I
ff	e	B	e	B
ff	f	B	f	B
fg	a	I	a	I
fg	b	I	b	I
fg	c	I	c	I
fg	d	I	d	I
fg	e	I	e	I
fh	a	I	a	I
fh	b	I	b	I
fh	c	I	c	I
fh	d	I	d	I
fh	e	Lbq;	e	Lnet/minecraft/server/NBTTagCompound;
fi	a	I	a	I
fi	b	I	b	I
fi	c	I	c	I
fi	d	I	d	I
fi	e	I	e	I
fi	f	I	f	I
fj	a	I	a	I
fj	b	I	b	I
fj	c	I	c	I
fj	d	I	material	I
fj	e	I	data	I
fk	a	I	a	I
fk	b	B	b	B
fk	c	B	c	B
fk	d	S	d	S
fl	a	I	a	I
fl	b	I	b	I
fl	c	I	c	I
fl	d	I	d	I
fl	e	Lum;	e	Lnet/minecraft/server/ItemStack;
fl	f	F	f	F
fl	g	F	g	F
fl	h	F	h	F
fn	a	Ljava/text/SimpleDateFormat;	a	Ljava/text/SimpleDateFormat;
fn	b	Ljava/util/logging/Logger;	b	Ljava/util/logging/Logger;
fn	c	Ljava/lang/String;	c	Ljava/lang/String;
fn	d	Ljava/util/Date;	d	Ljava/util/Date;
fn	e	Ljava/lang/String;	e	Ljava/lang/String;
fn	f	Ljava/util/Date;	f	Ljava/util/Date;
fn	g	Ljava/lang/String;	g	Ljava/lang/String;
fo	a	Ljy;	a	Lnet/minecraft/server/InsensitiveStringMap;
fo	b	Ljava/io/File;	b	Ljava/io/File;
fo	c	Z	c	Z
fp	a	Ljava/lang/String;	command	Ljava/lang/String;
fp	b	Laa;	source	Lnet/minecraft/server/ICommandListener;
fr	a	Ljava/util/logging/Logger;	a	Ljava/util/logging/Logger;
fs	a	Ljava/text/SimpleDateFormat;	a	Ljava/text/SimpleDateFormat;
ft	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
fu	c	Laz;	c	Lnet/minecraft/server/DispenseBehaviorItem;
fu	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
fv	c	Laz;	c	Lnet/minecraft/server/DispenseBehaviorItem;
fv	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
fw	b	J	b	J
fw	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/MinecraftServer;
fx	a	Lho;	a	Lnet/minecraft/server/DedicatedServer;
fy	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/MinecraftServer;
fz	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/DedicatedServer;
g	a	La;	a	Lnet/minecraft/server/CrashReport;
ga	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/MinecraftServer;
gb	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/MinecraftServer;
gc	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gd	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
ge	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gf	c	Laz;	c	Lnet/minecraft/server/DispenseBehaviorItem;
gf	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gg	b	Lum;	b	Lnet/minecraft/server/ItemStack;
gg	c	Lgf;	c	Lnet/minecraft/server/DispenseBehaviorPotion;
gh	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gi	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gj	c	Laz;	c	Lnet/minecraft/server/DispenseBehaviorItem;
gj	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gk	c	Laz;	c	Lnet/minecraft/server/DispenseBehaviorItem;
gk	b	Lnet/minecraft/server/MinecraftServer;	b	Lnet/minecraft/server/MinecraftServer;
gl	a	Ls;	a	Lnet/minecraft/server/ChunkCoordinates;
gm	e	Ljava/text/SimpleDateFormat;	e	Ljava/text/SimpleDateFormat;
gm	a	Ljava/util/logging/Logger;	a	Ljava/util/logging/Logger;
gm	f	Lnet/minecraft/server/MinecraftServer;	server	Lnet/minecraft/server/MinecraftServer;
gm	b	Ljava/util/List;	players	Ljava/util/List;
gm	g	Lfo;	banByName	Lnet/minecraft/server/BanList;
gm	h	Lfo;	banByIP	Lnet/minecraft/server/BanList;
gm	i	Ljava/util/Set;	operators	Ljava/util/Set;
gm	j	Ljava/util/Set;	whitelist	Ljava/util/Set;
gm	k	Lain;	playerFileData	Lnet/minecraft/server/PlayerFileData;
gm	l	Z	hasWhitelist	Z
gm	c	I	maxPlayers	I
gm	d	I	d	I
gm	m	Lye;	m	Lnet/minecraft/server/EnumGamemode;
gm	n	Z	n	Z
gm	o	I	o	I
go	a	Ljava/util/logging/Logger;	a	Ljava/util/logging/Logger;
go	b	Ljava/util/Properties;	properties	Ljava/util/Properties;
go	c	Ljava/io/File;	c	Ljava/io/File;
gq	a	Ljava/util/regex/Pattern;	a	Ljava/util/regex/Pattern;
gv	a	J	a	J
gv	b	I	b	I
h	a	La;	a	Lnet/minecraft/server/CrashReport;
hn	e	Ljava/io/File;	e	Ljava/io/File;
hn	f	Ljava/io/File;	f	Ljava/io/File;
ho	l	Ljava/util/List;	l	Ljava/util/List;
ho	m	Ljb;	m	Lnet/minecraft/server/RemoteStatusListener;
ho	n	Ljf;	n	Lnet/minecraft/server/RemoteControlListener;
ho	o	Lgo;	propertyManager	Lnet/minecraft/server/PropertyManager;
ho	p	Z	generateStructures	Z
ho	q	Lye;	q	Lnet/minecraft/server/EnumGamemode;
ho	r	Liw;	r	Lnet/minecraft/server/ServerConnection;
ho	s	Z	s	Z
hp	a	Lho;	a	Lnet/minecraft/server/DedicatedServer;
hq	a	Lho;	server	Lnet/minecraft/server/DedicatedServer;
hr	a	Lho;	a	Lnet/minecraft/server/DedicatedServer;
hs	a	Lho;	a	Lnet/minecraft/server/DedicatedServer;
ht	c	Lhu;	c	Lnet/minecraft/server/DedicatedServerConnectionThread;
hu	a	Ljava/util/logging/Logger;	a	Ljava/util/logging/Logger;
hu	b	Ljava/util/List;	b	Ljava/util/List;
hu	c	Ljava/util/HashMap;	c	Ljava/util/HashMap;
hu	d	I	d	I
hu	e	Ljava/net/ServerSocket;	e	Ljava/net/ServerSocket;
hu	f	Liw;	f	Lnet/minecraft/server/ServerConnection;
hu	g	Ljava/net/InetAddress;	g	Ljava/net/InetAddress;
hu	h	I	h	I
hv	a	Ljava/util/logging/Logger;	a	Ljava/util/logging/Logger;
hv	b	Z	b	Z
hv	c	Lho;	c	Lnet/minecraft/server/DedicatedServer;
hw	a	Lho;	a	Lnet/minecraft/server/DedicatedServer;
hx	a	Ljavax/swing/JTextField;	a	Ljavax/swing/JTextField;
hx	b	Lhv;	b	Lnet/minecraft/server/ServerGUI;
hy	a	Lhv;	a	Lnet/minecraft/server/ServerGUI;
hz	a	Lnet/minecraft/server/MinecraftServer;	a	Lnet/minecraft/server/MinecraftServer;
hz	b	I	b	I
i	a	La;	a	Lnet/minecraft/server/CrashReport;
ia	a	Ljava/text/DecimalFormat;	a	Ljava/text/DecimalFormat;
ia	b	[I	b	[I
ia	c	I	c	I
ia	d	[Ljava/lang/String;	d	[Ljava/lang/String;
ia	e	Lnet/minecraft/server/MinecraftServer;	e	Lnet/minecraft/server/MinecraftServer;
ib	a	Lia;	a	Lnet/minecraft/server/GuiStatsComponent;
ic	b	[I	b	[I
ic	c	I	c	I
ic	a	Ljava/util/logging/Formatter;	a	Ljava/util/logging/Formatter;
ic	d	Ljavax/swing/JTextArea;	d	Ljavax/swing/JTextArea;
id	a	Lic;	a	Lnet/minecraft/server/GuiLogOutputHandler;
if	K	J	K	J
if	a	Lyd;	a	Lnet/minecraft/server/WorldSettings;
ig	c	Z	c	Z
ig	d	Z	d	Z
ig	e	I	e	I
ig	f	I	f	I
ii	a	Lin;	world	Lnet/minecraft/server/WorldServer;
ii	b	Ljava/util/Set;	b	Ljava/util/Set;
ii	c	Ljz;	trackedEntities	Lnet/minecraft/server/IntHashMap;
ii	d	I	d	I
ij	a	Lnet/minecraft/server/MinecraftServer;	server	Lnet/minecraft/server/MinecraftServer;
ij	b	Lin;	world	Lnet/minecraft/server/WorldServer;
ik	a	Lin;	world	Lnet/minecraft/server/WorldServer;
ik	b	Ljava/util/List;	managedPlayers	Ljava/util/List;
ik	c	Lkc;	c	Lnet/minecraft/server/LongHashMap;
ik	d	Ljava/util/List;	d	Ljava/util/List;
ik	e	I	e	I
ik	f	[[I	f	[[I
il	b	Ljava/util/List;	b	Ljava/util/List;
il	c	Lxo;	location	Lnet/minecraft/server/ChunkCoordIntPair;
il	d	[S	dirtyBlocks	[S
il	e	I	dirtyCount	I
il	f	I	f	I
il	a	Lik;	playerManager	Lnet/minecraft/server/PlayerManager;
im	b	Ljava/util/Set;	unloadQueue	Ljava/util/Set;
im	c	Lzs;	emptyChunk	Lnet/minecraft/server/Chunk;
im	d	Lzp;	chunkProvider	Lnet/minecraft/server/IChunkProvider;
im	e	Lzx;	e	Lnet/minecraft/server/IChunkLoader;
im	a	Z	forceChunkLoad	Z
im	f	Lkc;	chunks	Lnet/minecraft/server/LongHashMap;
im	g	Ljava/util/List;	chunkList	Ljava/util/List;
im	h	Lin;	world	Lnet/minecraft/server/WorldServer;
in	a	Lnet/minecraft/server/MinecraftServer;	server	Lnet/minecraft/server/MinecraftServer;
in	K	Lii;	tracker	Lnet/minecraft/server/EntityTracker;
in	L	Lik;	manager	Lnet/minecraft/server/PlayerManager;
in	M	Ljava/util/Set;	M	Ljava/util/Set;
in	N	Ljava/util/TreeSet;	N	Ljava/util/TreeSet;
in	b	Lim;	chunkProviderServer	Lnet/minecraft/server/ChunkProviderServer;
in	c	Z	savingDisabled	Z
in	O	Z	O	Z
in	P	I	emptyTime	I
in	Q	Lyj;	Q	Lnet/minecraft/server/PortalTravelAgent;
in	R	[Lip;	R	[Lnet/minecraft/server/NoteDataList;
in	S	I	S	I
in	T	[Lkw;	T	[Lnet/minecraft/server/StructurePieceTreasure;
in	U	Ljz;	entitiesById	Lnet/minecraft/server/IntHashMap;
iq	cj	Lbn;	locale	Lnet/minecraft/server/LocaleLanguage;
iq	a	Liv;	netServerHandler	Lnet/minecraft/server/NetServerHandler;
iq	b	Lnet/minecraft/server/MinecraftServer;	server	Lnet/minecraft/server/MinecraftServer;
iq	c	Lir;	itemInWorldManager	Lnet/minecraft/server/ItemInWorldManager;
iq	d	D	d	D
iq	e	D	e	D
iq	f	Ljava/util/List;	chunkCoordIntPairQueue	Ljava/util/List;
iq	g	Ljava/util/List;	removeQueue	Ljava/util/List;
iq	ck	I	ck	I
iq	cl	I	cl	I
iq	cm	Z	cm	Z
iq	cn	I	lastSentExp	I
iq	co	I	invulnerableTicks	I
iq	cp	I	cp	I
iq	cq	I	cq	I
iq	cr	Z	cr	Z
iq	cs	I	containerCounter	I
iq	h	Z	h	Z
iq	i	I	ping	I
iq	j	Z	viewingCredits	Z
ir	a	Lxv;	world	Lnet/minecraft/server/World;
ir	b	Liq;	player	Lnet/minecraft/server/EntityPlayer;
ir	c	Lye;	gamemode	Lnet/minecraft/server/EnumGamemode;
ir	d	Z	d	Z
ir	e	I	lastDigTick	I
ir	f	I	f	I
ir	g	I	g	I
ir	h	I	h	I
ir	i	I	currentTick	I
ir	j	Z	j	Z
ir	k	I	k	I
ir	l	I	l	I
ir	m	I	m	I
ir	n	I	n	I
ir	o	I	o	I
is	a	Llq;	tracker	Lnet/minecraft/server/Entity;
is	b	I	b	I
is	c	I	c	I
is	d	I	xLoc	I
is	e	I	yLoc	I
is	f	I	zLoc	I
is	g	I	yRot	I
is	h	I	xRot	I
is	i	I	i	I
is	j	D	j	D
is	k	D	k	D
is	l	D	l	D
is	m	I	m	I
is	p	D	p	D
is	q	D	q	D
is	r	D	r	D
is	s	Z	s	Z
is	t	Z	isMoving	Z
is	u	I	u	I
is	v	Llq;	v	Lnet/minecraft/server/Entity;
is	w	Z	w	Z
is	n	Z	n	Z
is	o	Ljava/util/Set;	trackedPlayers	Ljava/util/Set;
it	d	[B	d	[B
it	a	Ljava/util/logging/Logger;	logger	Ljava/util/logging/Logger;
it	e	Ljava/util/Random;	random	Ljava/util/Random;
it	b	Lcg;	networkManager	Lnet/minecraft/server/NetworkManager;
it	c	Z	c	Z
it	f	Lnet/minecraft/server/MinecraftServer;	server	Lnet/minecraft/server/MinecraftServer;
it	g	I	g	I
it	h	Ljava/lang/String;	h	Ljava/lang/String;
it	i	Z	i	Z
it	j	Ljava/lang/String;	loginKey	Ljava/lang/String;
it	k	Ljavax/crypto/SecretKey;	k	Ljavax/crypto/SecretKey;
iu	a	Lit;	netLoginHandler	Lnet/minecraft/server/NetLoginHandler;
